Date,cumulative_cases,Cases,Vaccinated,cumulative_fully_vaccinated,Deaths
,,,,,134
,,,,,141
,,,,,108
,,,,,114
,,,,,85
,,,,,97
,,,,,86
,,,,,70
,,,,,81
,,,,,59
,,,,,87
,,,,,64
,,,,,69
,,,,,72
,,,,,75
,,,,,61
,,,,,68
,,,,,70
,,,,,76
,,,,,65
,,,,,68
,,,,,82
,,,,,72
,,,,,70
12/13/21,5167097,6277,39377,26112133,69
12/12/21,5160820,12730,15085,26072756,59
12/11/21,5148090,1968,42435,26057671,64
12/10/21,5146122,3394,57012,26015236,57
12/9/21,5142728,6720,45842,25958224,65
12/8/21,5136008,8189,51739,25912382,59
12/7/21,5127819,4800,48101,25860643,72
12/6/21,5123019,7168,45707,25812542,52
12/5/21,5115851,15047,22672,25766835,65
12/4/21,5100804,2493,55987,25744163,76
12/3/21,5098311,3477,70694,25688176,68
12/2/21,5094834,8331,56940,25617482,70
12/1/21,5086503,5313,59171,25560542,70
11/30/21,5081190,5709,54822,25501371,63
11/29/21,5075481,5603,51459,25446549,77
11/28/21,5069878,14824,16505,25395090,53
11/27/21,5055054,788,25607,25378585,57
11/26/21,5054266,2225,23760,25352978,64
11/25/21,5052041,98,1155,25329218,59
11/24/21,5051943,2113,22498,25328063,64
11/23/21,5049830,4586,22788,25305565,80
11/22/21,5045244,4693,22126,25282777,75
11/21/21,5040551,10225,6897,25260651,78
11/20/21,5030326,1972,13031,25253754,66
11/19/21,5028354,2900,24311,25240723,85
11/18/21,5025454,5719,21406,25216412,70
11/17/21,5019735,5255,22046,25195006,84
11/16/21,5014480,5372,22381,25172960,63
11/15/21,5009108,4518,22285,25150579,84
11/14/21,5004590,6419,7197,25128294,77
11/13/21,4998171,2890,13552,25121097,68
11/12/21,4995281,9786,26831,25107545,77
11/11/21,4985495,2296,20527,25080714,86
11/10/21,4983199,5067,22378,25060187,72
11/9/21,4978132,4777,23425,25037809,90
11/8/21,4973355,7198,25294,25014384,76
11/7/21,4966157,12439,8907,24989090,92
11/6/21,4953718,1782,15454,24980183,80
11/5/21,4951936,3179,31187,24964729,73
11/4/21,4948757,8285,24818,24933542,69
11/3/21,4940472,5492,24704,24908724,75
11/2/21,4934980,4650,25514,24884020,75
11/1/21,4930330,7437,27315,24858506,78
10/31/21,4922893,13143,8887,24831191,67
10/30/21,4909750,1613,16124,24822304,81
