Cases,Deaths,Vaccinated
29286,94,4641
32254,269,49165
113830,1679,142890
113709,1111,138722
105209,1236,150911
96693,1432,149979
146171,1074,152182
27898,174,56638
45966,480,95498
124828,1774,184821
70046,921,141853
90660,1249,157991
82884,1553,155456
128188,1143,162204
25911,198,66707
28424,413,111573
89496,1537,216575
87987,1175,181617
79913,1433,181383
73057,1396,178461
120245,1133,184622
20542,271,67416
28700,395,114423
87189,1726,226374
82004,1240,198017
83924,1694,196644
102421,1975,192197
94614,988,195323
23599,316,76885
29630,620,128733
80592,1844,234405
87284,1514,187653
76381,1716,185859
81012,1827,184537
69667,1213,202013
49727,672,80887
62614,889,138330
90951,1980,264873
96617,1517,216968
96975,1754,217804
91077,1926,222732
74152,868,211952
59990,712,100427
70539,1009,161899
107759,2193,296975
111981,1682,241721
107746,1964,246984
104815,2014,245810
86063,1203,244130
69131,904,125326
82033,1273,199274
120088,2087,359286
122488,1908,304757
116379,2173,299429
117022,2078,292921
101584,1422,213835
77967,981,140345
96507,1404,221531
133006,2361,399437
135441,2035,317462
132276,2268,325055
134875,2327,331056
93656,1310,339167
97001,1092,159355
122912,1524,267027
157384,2247,465742
167173,2065,379566
162914,2365,376928
161942,2391,366543
113743,1278,371895
116258,1109,168007
153075,1681,290640
169340,2215,484834
186622,2226,384720
169886,2025,389766
118405,1444,466298
110301,1023,83275
124657,1214,168367
142167,1440,269694
182848,1902,475469
182220,2004,388325
198861,1972,394574
176973,1724,409074
134664,1228,418462
118270,1107,199960
151230,1415,331373
182854,1819,523829
187130,1736,420514
177926,1622,410370
163774,1615,403332
117482,1118,394524
127059,855,174461
142907,1142,289151
166990,1561,465812
175040,1346,371744
168300,1456,369333
150835,1215,354969
110342,849,346067
110671,656,157736
139181,852,236862
146633,1173,380161
151639,1015,305792
144644,607,288255
136606,1015,287043
93987,759,279417
97152,565,114439
119987,607,185008
125969,879,303135
129153,776,257566
124095,765,248218
110597,727,246623
103645,681,230391
63030,371,94874
81507,396,175169
105017,553,281659
99314,526,243677
89531,522,250025
86087,539,242163
71564,447,213672
43276,263,61012
53319,270,169283
68485,439,276577
72844,356,247938
61606,401,257485
51003,340,247353
45485,299,242348
28391,155,102533
31508,185,184159
42360,383,290626
40559,336,257083
38472,340,261453
34883,342,260529
29346,318,262951
16777,111,104999
20529,145,201399
27622,318,333318
28130,268,299342
22808,264,307867
20199,307,326767
9217,115,203017
10372,115,26431
13042,146,184025
16838,300,332111
18705,287,323680
11612,252,342457
15739,277,348631
10669,193,296511
10503,172,146657
13183,240,287900
15095,391,437834
15537,313,406327
13862,338,429665
13481,310,456807
8654,264,283996
8932,216,171903
12398,252,361716
12026,275,580927
13278,282,574763
13214,333,615867
12843,308,644007
8280,205,603982
8591,146,289600
12470,207,628017
14013,400,832481
16063,398,793027
19099,368,802342
14583,313,798619
9961,322,721525
10980,422,352745
14788,394,733312
18601,598,931408
18658,476,817821
16242,493,663213
8919,333,761311
8985,220,118532
12002,254,199640
16157,292,411518
24389,706,765878
22559,546,774822
23728,518,817062
23795,492,818848
16108,362,733709
15720,282,339994
22219,399,755842
28258,664,1174986
27957,528,1150313
27885,602,1157990
28049,597,1140727
19500,374,989109
20962,442,478306
29750,421,974692
35438,687,1407125
41032,596,1379454
35907,706,1412020
33597,609,1421144
24740,414,1145485
27199,397,430654
36855,620,1070643
44605,803,1746789
43407,667,1778298
45279,721,1775809
43137,687,1732545
33231,461,1381610
36693,512,575947
47986,620,1144221
55307,788,1820073
56724,772,1950331
55292,851,1940771
50935,525,1764439
39872,495,1406776
40719,428,489344
51928,650,1171936
64617,849,1870756
61692,787,2022339
64179,779,2020589
58899,739,1808032
35963,493,1439295
49217,508,571322
78014,631,1162573
70890,819,1900758
74996,786,1921449
72363,802,1893905
72168,739,1689053
62639,528,1696894
53496,469,792212
68062,747,1633717
78870,832,2399543
75701,866,2480467
77911,812,2278016
63271,721,2051081
56917,370,1575019
44298,514,367486
65491,729,1145653
69535,828,1785651
74452,813,2200076
71467,957,1911681
62358,722,1631408
57815,545,1251605
52892,616,541233
63355,843,1144889
76688,1065,1768748
66384,976,1616957
67154,1118,1397643
58491,747,1129947
48560,930,789867
44960,532,367260
58372,714,850059
62288,1191,1201740
62871,843,1191775
62404,1036,1113227
52083,859,1035482
43460,690,860897
47286,640,425595
53397,960,1011549
62874,1282,1507151
60544,1313,1383543
62233,1580,1256756
53498,997,1072042
42990,818,840334
43525,892,341329
57320,1257,852833
64242,1951,1285354
65766,1538,1223521
65774,1557,1110732
55237,1352,941671
50973,1249,772107
51631,1074,287900
67913,1592,801530
73630,1891,1351187
72013,2924,1314390
72991,2007,1210453
71026,1680,1005582
56248,1522,787533
55776,1518,317040
66030,1788,670647
73217,2411,1084488
68759,2223,968771
64575,2181,987294
57845,1412,780683
57704,1379,529273
66668,1536,228452
84447,2053,572925
97929,2499,1147081
99237,3235,1078688
99476,2801,1025656
91971,2441,882697
82259,1699,697631
91487,1799,155385
108098,2728,417729
125540,3411,944774
125158,3097,898473
110278,3323,822609
122569,2968,686563
128463,2277,561020
111475,2264,124764
137384,2731,239236
164178,3239,485948
156846,3822,548342
160029,3992,638755
147908,3539,573169
133865,2132,482636
143556,2458,86993
164590,2943,148158
190496,3671,206307
189672,3828,272692
189270,3838,419762
150936,2743,351978
151202,2275,227925
182569,2545,42317
212825,3498,71493
239980,3405,119628
224283,3704,134516
229441,4088,270363
218692,3630,313871
204486,2683,321837
223529,2513,68767
255182,3309,127820
294023,3813,360228
271082,4010,277953
259778,3875,170939
245061,3543,87356
