Date,Cases,Vaccinated,Deaths,Frac_boosted,Daily_boost
,,,2097,,
,,,2225,,
,,,2323,,
,,,1905,,
,,,459,,
,,,402,,
,,,731,,
,,,1487,,
,,,2355,,
,,,2281,,
,,,1846,,
,,,372,,
,,,243,,
,,,690,,
,,,1405,,
,,,4185,,
,,,1914,,
,,,1547,,
,,,320,,
,,,681,,
,,,1864,,
,,,1269,,
,,,2232,,
,,,1511,,
Dec 13 2021,201786,20338,1389,0.1887,64882
Dec 12 2021,48358,67997,372,0.1856,165289
Dec 11 2021,51967,233431,624,0.1846,459099
Dec 10 2021,132385,319757,1753,0.1825,1034584
Dec 9 2021,137395,286896,1548,0.1785,999670
Dec 8 2021,128924,311112,1823,0.1749,1020844
Dec 7 2021,124420,307671,1512,0.1713,1040388
Dec 6 2021,199278,299472,1426,0.1677,1006873
Dec 5 2021,47183,174238,414,0.1642,342067
Dec 4 2021,55433,412141,701,0.163,658314
Dec 3 2021,151059,450724,1611,0.1608,1323758
Dec 2 2021,142893,367244,3940,0.1562,1206758
Dec 1 2021,130750,383274,1995,0.1521,1164666
Nov 30 2021,120160,367391,1638,0.1481,1040760
Nov 29 2021,100983,339761,1914,0.1446,881523
Nov 28 2021,53305,136948,278,0.1416,279756
Nov 27 2021,49356,185607,338,0.1407,441529
Nov 26 2021,80942,167986,389,0.1392,672615
Nov 25 2021,70219,4196,488,0.137,11580
Nov 24 2021,105208,146853,1699,0.1369,771814
Nov 23 2021,101922,160833,1351,0.1343,1059675
Nov 22 2021,154132,167844,1246,0.1308,1082203
Nov 21 2021,34060,58569,250,0.1272,355159
Nov 20 2021,38961,98502,475,0.126,627437
Nov 19 2021,113646,190174,1761,0.1239,1202120
Nov 18 2021,113463,166553,1335,0.1199,1029718
Nov 17 2021,106219,167443,1659,0.1165,1003943
Nov 16 2021,96770,162871,1319,0.1131,955995
Nov 15 2021,143741,161877,1277,0.1099,859667
Nov 14 2021,28630,58894,231,0.107,261036
Nov 13 2021,47473,99642,601,0.1061,499396
Nov 12 2021,123134,194636,2448,0.1045,1072366
Nov 11 2021,71616,149550,903,0.1009,836341
Nov 10 2021,90437,166293,1689,0.0981,954223
Nov 9 2021,83055,162221,1448,0.0949,887343
Nov 8 2021,128213,167914,1200,0.0919,768121
Nov 7 2021,25975,68084,235,0.0894,242148
Nov 6 2021,28474,114660,510,0.0886,498376
Nov 5 2021,89513,224302,2118,0.0869,1156033
Nov 4 2021,88066,189057,1201,0.0831,1028531
Nov 3 2021,79940,187973,1984,0.0797,996412
Nov 2 2021,73081,184387,1307,0.0763,971575
Nov 1 2021,120254,189934,1249,0.0731,906507
Oct 31 2021,20543,68387,260,0.07,251296
Oct 30 2021,28725,116398,402,0.0692,505310
Oct 29 2021,87027,233726,1734,0.0675,1154002
Oct 28 2021,81952,205187,1860,0.0637,1043116
Oct 27 2021,83882,204109,2052,0.0603,1049268
Oct 26 2021,102416,198702,1608,0.0568,1002324
Oct 25 2021,94602,201259,1456,0.0535,961976
Oct 24 2021,23599,78503,283,0.0504,269352
Oct 23 2021,29609,131617,575,0.0495,493238
Oct 22 2021,80604,240245,1874,0.0479,796190
Oct 21 2021,87276,191564,2021,0.0452,432629
Oct 20 2021,76381,189400,3191,0.0438,418224
Oct 19 2021,81011,188008,1928,0.0424,409575
Oct 18 2021,70584,205534,1767,0.0411,381989
Oct 17 2021,49275,81765,479,0.0398,96177
Oct 16 2021,62165,140473,599,0.0395,199040
Oct 15 2021,90947,269421,1822,0.0388,488645
Oct 14 2021,96613,221555,2191,0.0372,439804
Oct 13 2021,96985,222119,3185,0.0358,430136
Oct 12 2021,91099,226477,2282,0.0343,443266
Oct 11 2021,75188,215343,1183,0.0329,390964
Oct 10 2021,59487,101679,490,0.0316,109015
Oct 9 2021,69965,164022,454,0.0312,212428
Oct 8 2021,107762,302078,1806,0.0305,528150
Oct 7 2021,111990,246649,2469,0.0288,484958
Oct 6 2021,107800,251695,2661,0.0271,502380
Oct 5 2021,104890,250324,1884,0.0255,493755
Oct 4 2021,87558,247948,1932,0.0239,457307
Oct 3 2021,68408,126716,539,0.0224,122539
Oct 2 2021,81351,201645,878,0.022,239252
Oct 1 2021,120126,365722,2132,0.0212,572388
Sep 30 2021,122565,309955,2824,0.0192,532045
Sep 29 2021,116398,304013,2638,0.0175,518672
Sep 28 2021,117120,297170,2517,0.0158,516743
Sep 27 2021,103425,217356,2253,0.0141,488272
Sep 26 2021,77076,141780,593,0.0125,136500
Sep 25 2021,95647,223933,852,0.012,231405
Sep 24 2021,133083,403457,2486,0.0113,248201
Sep 23 2021,135580,320317,3307,0.0105,97864
Sep 22 2021,132403,327628,2689,0.0101,81569
Sep 21 2021,135052,333692,2442,0.0099,84233
Sep 20 2021,93690,341972,2308,0.0096,81379
Sep 19 2021,97069,160270,408,0.0093,21887
Sep 18 2021,123101,268863,1003,0.0092,46323
Sep 17 2021,157582,469501,2462,0.0091,86287
Sep 16 2021,167328,382279,3488,0.0088,73799
Sep 15 2021,163092,379483,2732,0.0085,73265
Sep 14 2021,162155,368868,1922,0.0083,71021
Sep 13 2021,113754,374364,2153,0.0081,72388
Sep 12 2021,116278,168826,384,0.0078,21628
Sep 11 2021,153177,292183,842,0.0077,46732
Sep 10 2021,169420,487820,2455,0.0076,102409
Sep 9 2021,186794,387067,3225,0.0072,93384
Sep 8 2021,170009,391624,2298,0.0069,91914
Sep 7 2021,118409,468272,2095,0.0066,88500
Sep 6 2021,110302,83859,621,0.0063,10550
Sep 5 2021,124677,168978,427,0.0063,26133
Sep 4 2021,142201,270692,660,0.0062,42518
Sep 3 2021,182912,477999,1939,0.0061,114315
Sep 2 2021,182296,390928,3054,0.0057,109432
Sep 1 2021,198869,396985,2047,0.0053,111623
Aug 31 2021,176985,410915,1442,0.0049,104401
Aug 30 2021,134649,420325,1715,0.0046,95657
Aug 29 2021,118259,200562,324,0.0042,34094
Aug 28 2021,151221,332750,654,0.0041,61392
Aug 27 2021,182821,526629,1749,0.0039,120980
Aug 26 2021,187146,422690,2218,0.0035,106354
Aug 25 2021,177852,412560,1549,0.0032,98915
Aug 24 2021,163766,405271,1436,0.0029,96216
Aug 23 2021,117451,396589,1335,0.0025,92978
Aug 22 2021,127031,175230,223,0.0022,30071
Aug 21 2021,142870,290571,577,0.0021,58740
Aug 20 2021,166935,468285,1455,0.0019,116459
Aug 19 2021,174978,373534,1781,0.0016,109933
Aug 18 2021,168199,371363,1204,0.0012,112001
Aug 17 2021,150803,356556,1027,0.0008,95371
Aug 16 2021,110298,347533,1047,0.0005,77001
Aug 15 2021,110637,158276,214,0.0003,31313
Aug 14 2021,139135,237719,279,0.0002,34318
Aug 13 2021,146577,381541,1062,0,12951
Aug 12 2021,151587,306913,1031,0,0
Aug 11 2021,144581,289524,809,0,0
Aug 10 2021,136581,287938,822,0,0
Aug 9 2021,93959,280445,521,0,0
Aug 8 2021,97121,114804,140,0,0
Aug 7 2021,119977,185590,271,0,0
Aug 6 2021,125953,304268,1131,0,0
Aug 5 2021,129136,258523,527,0,0
Aug 4 2021,124093,249203,549,0,0
Aug 3 2021,110586,247430,586,0,0
Aug 2 2021,103627,231224,372,0,0
