Date,Cases,cumulative_cases,Vaccinated,cumulative_fully_vaccinated,Deaths_rolling
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.14285715
,,,,,0.2857143
,,,,,0.2857143
,,,,,0.2857143
,,,,,0.2857143
,,,,,0.2857143
,,,,,0.2857143
,,,,,0.2857143
,,,,,0.42857143
,,,,,0.42857143
,,,,,0.42857143
,,,,,0.42857143
,,,,,0.42857143
2021-12-13,0,12616,6899,3762089,0.42857143
2021-12-12,657,12616,4263,3755190,0.42857143
2021-12-11,0,11959,8524,3750927,0.14285715
2021-12-10,0,11959,9285,3742403,0.14285715
2021-12-09,0,11959,9253,3733118,0.14285715
2021-12-08,0,11959,9431,3723865,0.14285715
2021-12-07,0,11959,10206,3714434,0.14285715
2021-12-06,0,11959,10713,3704228,0.14285715
2021-12-05,888,11959,6762,3693515,0.14285715
2021-12-04,0,11071,14067,3686753,0.42857143
2021-12-03,0,11071,17450,3672686,0.42857143
2021-12-02,0,11071,16766,3655236,0.42857143
2021-12-01,0,11071,14356,3638470,0.42857143
2021-11-30,0,11071,14453,3624114,0.42857143
2021-11-29,0,11071,11953,3609661,0.42857143
2021-11-28,1265,11071,8089,3597708,0.42857143
2021-11-27,0,9806,14551,3589619,1
2021-11-26,0,9806,12300,3575068,1
2021-11-25,0,9806,11888,3562768,1
2021-11-24,0,9806,12147,3550880,1
2021-11-23,0,9806,12503,3538733,1
2021-11-22,0,9806,10558,3526230,1
2021-11-21,1302,9806,6790,3515672,1
2021-11-20,0,8504,15624,3508882,0.14285715
2021-11-19,0,8504,15867,3493258,0.14285715
2021-11-18,0,8504,14166,3477391,0.14285715
2021-11-17,0,8504,14309,3463225,0.14285715
2021-11-16,0,8504,14510,3448916,0.14285715
2021-11-15,0,8504,13757,3434406,0.14285715
2021-11-14,1218,8504,10020,3420649,0.14285715
2021-11-13,0,7286,20050,3410629,0.5714286
2021-11-12,0,7286,16854,3390579,0.5714286
2021-11-11,0,7286,16665,3373725,0.5714286
2021-11-10,0,7286,16089,3357060,0.5714286
2021-11-09,0,7286,16499,3340971,0.5714286
2021-11-08,0,7286,16297,3324472,0.5714286
2021-11-07,1053,7286,11041,3308175,0.5714286
2021-11-06,0,6233,26621,3297134,0
2021-11-05,0,6233,21672,3270513,0
2021-11-04,0,6233,19676,3248841,0
2021-11-03,0,6233,20580,3229165,0
2021-11-02,0,6233,21498,3208585,0
2021-11-01,0,6233,20410,3187087,0
2021-10-31,851,6233,15374,3166677,0
2021-10-30,0,5382,32114,3151303,0
2021-10-29,0,5382,32089,3119189,0
2021-10-28,0,5382,32458,3087100,0
2021-10-27,0,5382,28485,3054642,0
2021-10-26,0,5382,31404,3026157,0
2021-10-25,0,5382,7206,2994753,0
2021-10-24,687,5382,13744,2987547,0
2021-10-23,0,4695,30843,2973803,0
2021-10-22,0,4695,33548,2942960,0
2021-10-21,0,4695,31490,2909412,0
2021-10-20,0,4695,32866,2877922,0
2021-10-19,0,4695,32551,2845056,0
2021-10-18,0,4695,32899,2812505,0
2021-10-17,396,4695,23508,2779606,0
2021-10-16,0,4299,91769,2756098,0.14285715
2021-10-15,0,4299,55834,2664329,0.14285715
2021-10-14,0,4299,53162,2608495,0.14285715
2021-10-13,0,4299,53543,2555333,0.14285715
2021-10-12,0,4299,55818,2501790,0.14285715
2021-10-11,0,4299,54406,2445972,0.14285715
2021-10-10,275,4299,33280,2391566,0.14285715
2021-10-09,0,4024,63845,2358286,0
2021-10-08,0,4024,67633,2294441,0
2021-10-07,0,4024,63102,2226808,0
2021-10-06,0,4024,51722,2163706,0
2021-10-05,0,4024,46437,2111984,0
2021-10-04,0,4024,41265,2065547,0
2021-10-03,188,4024,20072,2024282,0
2021-10-02,0,3836,37492,2004210,0
2021-10-01,0,3836,35529,1966718,0
2021-09-30,0,3836,32446,1931189,0
2021-09-29,0,3836,27169,1898743,0
