Date,New Deaths,time,Percent_inf
Oct 22 2021,1834,0,0.002535604
Oct 21 2021,1406,0,0.001943871
Oct 20 2021,1545,0,0.002136046
Oct 19 2021,1795,0,0.002481685
Oct 18 2021,992,0,0.001371494
Oct 17 2021,612,0,0.000846123
Oct 16 2021,760,0,0.001050741
Oct 15 2021,1681,0,0.002324073
Oct 14 2021,1417,1,0.001959079
Oct 13 2021,1701,2,0.002351725
Oct 12 2021,1812,3,0.002505188
Oct 11 2021,649,4,0.000897278
Oct 10 2021,707,5,0.000977466
Oct 9 2021,882,6,0.001219413
Oct 8 2021,1977,7,0.002733309
Oct 7 2021,1470,8,0.002032355
Oct 6 2021,1820,9,0.002516248
Oct 5 2021,1941,10,0.002683538
Oct 4 2021,1029,11,0.001422648
Oct 3 2021,910,12,0.001258124
Oct 2 2021,1164,13,0.001609293
Oct 1 2021,1969,14,0.002722249
Sep 30 2021,1714,15,0.002369698
Sep 29 2021,2045,16,0.002827323
Sep 28 2021,1987,17,0.002747135
Sep 27 2021,1307,18,0.001806998
Sep 26 2021,1068,19,0.001476568
Sep 25 2021,1385,20,0.001914837
Sep 24 2021,2198,21,0.003038854
Sep 23 2021,1943,22,0.002686303
Sep 22 2021,2016,23,0.002787229
Sep 21 2021,2208,24,0.003052679
Sep 20 2021,1334,25,0.001844327
Sep 19 2021,1202,26,0.00166183
Sep 18 2021,1500,27,0.002073831
Sep 17 2021,2102,28,0.002906129
Sep 16 2021,1947,29,0.002691833
Sep 15 2021,2109,30,0.002915807
Sep 14 2021,2285,31,0.003159136
Sep 13 2021,1364,32,0.001885804
Sep 12 2021,1283,33,0.001773817
Sep 11 2021,1572,34,0.002173375
Sep 10 2021,2182,35,0.003016733
Sep 9 2021,2072,36,0.002864652
Sep 8 2021,2033,37,0.002810732
Sep 7 2021,1620,38,0.002239738
Sep 6 2021,1174,39,0.001623119
Sep 5 2021,1245,40,0.00172128
Sep 4 2021,1454,41,0.002010234
Sep 3 2021,1897,42,0.002622705
Sep 2 2021,1922,43,0.002657269
Sep 1 2021,1905,44,0.002633766
Aug 31 2021,1749,45,0.002418087
Aug 30 2021,1364,46,0.001885804
Aug 29 2021,1215,47,0.001679803
Aug 28 2021,1411,48,0.001950784
Aug 27 2021,1795,49,0.002481685
Aug 26 2021,1707,50,0.00236002
Aug 25 2021,1660,51,0.00229504
Aug 24 2021,1669,52,0.002307483
Aug 23 2021,1233,53,0.001704689
Aug 22 2021,921,54,0.001273332
Aug 21 2021,1170,55,0.001617588
Aug 20 2021,1500,56,0.002073831
Aug 19 2021,1330,57,0.001838797
Aug 18 2021,1490,58,0.002060006
Aug 17 2021,1253,59,0.00173234
Aug 16 2021,908,60,0.001255359
Aug 15 2021,792,61,0.001094983
Aug 14 2021,881,62,0.00121803
Aug 13 2021,1156,63,0.001598233
Aug 12 2021,1011,64,0.001397762
Aug 11 2021,1007,65,0.001392232
Aug 10 2021,1006,66,0.001390849
Aug 9 2021,805,67,0.001112956
Aug 8 2021,592,68,0.000818472
Aug 7 2021,678,69,0.000937372
Aug 6 2021,822,70,0.001136459
Aug 5 2021,741,71,0.001024473
Aug 4 2021,735,72,0.001016177
Aug 3 2021,725,73,0.001002352
Aug 2 2021,569,74,0.000786673
Aug 1 2021,408,75,0.000564082
Jul 31 2021,431,76,0.000595881
Jul 30 2021,523,77,0.000723076
Jul 29 2021,488,78,0.000674686
Jul 28 2021,462,79,0.00063874
Jul 27 2021,515,80,0.000712015
Jul 26 2021,387,81,0.000535048
Jul 25 2021,284,82,0.000392645
Jul 24 2021,313,83,0.000432739
Jul 23 2021,386,84,0.000533666
Jul 22 2021,334,85,0.000461773
Jul 21 2021,400,86,0.000553022
Jul 20 2021,321,87,0.0004438
Jul 19 2021,264,88,0.000364994
Jul 18 2021,171,89,0.000236417
Jul 17 2021,197,90,0.000272363
Jul 16 2021,303,91,0.000418914
Jul 15 2021,306,92,0.000423062
Jul 14 2021,314,93,0.000434122
Jul 13 2021,338,94,0.000467303
Jul 12 2021,231,95,0.00031937
Jul 11 2021,145,96,0.00020047
Jul 10 2021,155,97,0.000214296
Jul 9 2021,271,98,0.000374672
Jul 8 2021,200,99,0.000276511
Jul 7 2021,240,100,0.000331813
Jul 6 2021,207,101,0.000286189
Jul 5 2021,141,102,0.00019494
Jul 4 2021,135,103,0.000186645
Jul 3 2021,161,104,0.000222591
Jul 2 2021,272,105,0.000376055
Jul 1 2021,221,106,0.000305544
Jun 30 2021,247,107,0.000341491
Jun 29 2021,273,108,0.000377437
Jun 28 2021,208,109,0.000287571
