week_date,age_adj_irr
Apr 04-Apr 10,8.675352341
Apr 11-Apr 17,8.596699109
Apr 18-Apr 24,8.343986509
Apr 25-May 01,8.356836817
May 02-May 08,10.28680931
May 09-May 15,12.56981569
May 16-May 22,12.04219542
May 23-May 29,11.63606738
May 30-Jun 05,11.13852332
Jun 06-Jun 12,10.02247139
Jun 13-Jun 19,10.86074916
Jun 20-Jun 26,8.575101243
Jun 27-Jul 03,8.17003301
Jul 04-Jul 10,7.324924033
Jul 11-Jul 17,6.919209747
Jul 18-Jul 24,6.548358923
Jul 25-Jul 31,6.2078978
Aug 01-Aug 07,5.997848713
Aug 08-Aug 14,6.203330843
Aug 15-Aug 21,6.06851035
Aug 22-Aug 28,5.99401211
Aug 29-Sep 04,5.85714893
