date,cum_deaths,daily_deaths,rt,rt_lower,rt_upper,cum_cases,daily_cases,daily_inf,FracDelta,Delta_cases,Delta_inf,Delta_deaths,Frac_boosted
2020-04-01,6996,1637,1.498703295,1.206412611,1.861810417,227903,35824,143296,3.36E-34,1.20E-29,4.82E-29,5.50E-31,0
2020-04-02,8556,1560,1.434802582,1.151879829,1.787216337,260183,32280,129120,4.22E-34,1.36E-29,5.45E-29,6.59E-31,0
2020-04-03,9985,1429,1.37595581,1.100262386,1.720729906,292630,32447,129788,5.31E-34,1.72E-29,6.89E-29,7.59E-31,0
2020-04-04,11605,1620,1.322247133,1.052425883,1.661245232,324340,31710,126840,6.67E-34,2.12E-29,8.46E-29,1.08E-30,0
2020-04-05,13227,1622,1.273729978,1.009126491,1.607715258,353117,28777,115108,8.38E-34,2.41E-29,9.65E-29,1.36E-30,0
2020-04-06,14989,1762,1.230342263,0.970855305,1.559184027,385110,31993,127972,1.05E-33,3.37E-29,1.35E-28,1.86E-30,0
2020-04-07,17595,2606,1.19164566,0.937462118,1.514748543,415256,30146,120584,1.32E-33,3.99E-29,1.60E-28,3.45E-30,0
2020-04-08,19747,2152,1.157169366,0.908596659,1.473746275,446500,31244,124976,1.66E-33,5.20E-29,2.08E-28,3.58E-30,0
2020-04-09,22003,2256,1.126498138,0.883876851,1.435718169,482526,36026,144104,2.09E-33,7.53E-29,3.01E-28,4.71E-30,0
2020-04-10,24217,2214,1.099265672,0.862916787,1.400349415,516707,34181,136724,2.63E-33,8.97E-29,3.59E-28,5.81E-30,0
2020-04-11,26320,2103,1.075151667,0.845343798,1.367433118,545693,28986,115944,3.30E-33,9.56E-29,3.82E-28,6.94E-30,0
2020-04-12,28203,1883,1.053870947,0.830800473,1.33683599,571551,25858,103432,4.14E-33,1.07E-28,4.29E-28,7.80E-30,0
2020-04-13,30204,2001,1.035167829,0.818945291,1.308478657,598794,27243,108972,5.20E-33,1.42E-28,5.67E-28,1.04E-29,0
2020-04-14,32685,2481,1.018812961,0.809451987,1.282324173,627306,28512,114048,6.54E-33,1.86E-28,7.46E-28,1.62E-29,0
2020-04-15,35309,2624,1.004601707,0.802008479,1.258371472,653669,26363,105452,8.21E-33,2.16E-28,8.66E-28,2.15E-29,0
2020-04-16,37496,2187,0.992350412,0.796313629,1.236647602,683351,29682,118728,1.03E-32,3.06E-28,1.22E-27,2.26E-29,0
2020-04-17,39600,2104,0.981889567,0.792071919,1.217196443,716508,33157,132628,1.30E-32,4.29E-28,1.72E-27,2.73E-29,0
2020-04-18,41543,1943,0.973065389,0.788996119,1.200077199,743857,27349,109396,1.63E-32,4.45E-28,1.78E-27,3.16E-29,0
2020-04-19,43510,1967,0.965739059,0.786810187,1.185358229,768888,25031,100124,2.04E-32,5.11E-28,2.05E-27,4.02E-29,0
2020-04-20,45795,2285,0.959778347,0.785248555,1.173099231,799531,30643,122572,2.56E-32,7.86E-28,3.14E-27,5.86E-29,0
2020-04-21,48246,2451,0.955057744,0.784064928,1.163341531,825478,25947,103788,3.22E-32,8.36E-28,3.34E-27,7.89E-29,0
2020-04-22,50712,2466,0.951464392,0.78304797,1.156103489,855445,29967,119868,4.04E-32,1.21E-27,4.85E-27,9.97E-29,0
2020-04-23,53138,2426,0.948886429,0.782023046,1.151354118,887523,32078,128312,5.08E-32,1.63E-27,6.51E-27,1.23E-28,0
2020-04-24,55201,2063,0.947218405,0.780866237,1.149009476,919014,31491,125964,6.37E-32,2.01E-27,8.03E-27,1.31E-28,0
2020-04-25,56940,1739,0.946359489,0.779508408,1.148924469,949640,30626,122504,8.00E-32,2.45E-27,9.80E-27,1.39E-28,0
2020-04-26,58354,1414,0.94621028,0.777932638,1.150888714,975537,25897,103588,1.00E-31,2.60E-27,1.04E-26,1.42E-28,0
2020-04-27,59840,1486,0.946673889,0.7761697,1.154633391,1000230,24693,98772,1.26E-31,3.11E-27,1.24E-26,1.87E-28,0
2020-04-28,62074,2234,0.947652922,0.774286117,1.159837482,1024834,24604,98416,1.58E-31,3.89E-27,1.56E-26,3.53E-28,0
2020-04-29,64448,2374,0.949050899,0.772374066,1.166141702,1051643,26809,107236,1.98E-31,5.32E-27,2.13E-26,4.71E-28,0
2020-04-30,66638,2190,0.950771418,0.770539698,1.173159918,1081150,29507,118028,2.49E-31,7.35E-27,2.94E-26,5.45E-28,0
2020-05-01,68518,1880,0.95271838,0.768894026,1.180490786,1115972,34822,139288,3.12E-31,1.09E-26,4.35E-26,5.87E-28,0
