xmin,xmax,ymin,ymax,rCol,Variant,location,date,oCol
1/1/2020,2/5/2021,3000,7450,#8FD744FF,Wild Type & D614G,Brazil,7/1/2020,#A77000
2/5/2021,8/5/2021,3000,7450,#443A83FF,Gamma,Brazil,5/1/2021,dark green
8/5/2021,12/20/2021,3000,7450,#21908CFF,Delta,Brazil,10/1/2021,#C1312B
12/20/2021,12/31/2022,3000,7450,#35B779FF,Omicron,Brazil,4/1/2022,#006065
1/1/2020,4/30/2021,3000,7450,#8FD744FF,Wild Type & D614G,China,7/1/2020,#A77000
4/30/2021,12/20/2021,3000,7450,#21908CFF,Delta,China,8/1/2021,#C1312B
12/20/2021,12/31/2022,3000,7450,#35B779FF,Omicron,China,4/1/2022,#006065
1/1/2020,10/1/2020,3000,7450,#8FD744FF,Wild Type & D614G,Italy,5/15/2020,#A77000
10/1/2020,6/20/2021,3000,7450,#440154FF,Alpha,Italy,1/1/2021,#FFC12D
6/20/2021,12/20/2021,3000,7450,#21908CFF,Delta,Italy,9/1/2021,#C1312B
12/20/2021,12/31/2022,3000,7450,#35B779FF,Omicron,Italy,4/1/2022,#006065
1/1/2020,2/15/2021,3000,7450,#8FD744FF,Wild Type & D614G,Peru,7/1/2020,#A77000
2/15/2021,9/5/2021,3000,7450,#31688EFF,Lambda,Peru,6/1/2021,2
9/5/2021,12/20/2021,3000,7450,#21908CFF,Delta,Peru,10/15/2021,#C1312B
12/20/2021,12/31/2022,3000,7450,#35B779FF,Omicron,Peru,4/1/2022,#006065
1/1/2020,9/25/2020,3000,7450,#8FD744FF,Wild Type & D614G,United Kingdom,5/15/2020,#A77000
9/25/2020,5/15/2021,3000,7450,#440154FF,Alpha,United Kingdom,1/1/2021,#FFC12D
5/15/2021,12/15/2021,3000,7450,#21908CFF,Delta,United Kingdom,8/1/2021,#C1312B
12/15/2021,12/31/2022,3000,7450,#35B779FF,Omicron,United Kingdom,4/1/2022,#006065
1/1/2020,4/1/2021,3000,7450,#8FD744FF,Wild Type & D614G,United States,7/1/2020,#A77000
4/1/2021,7/1/2021,3000,7450,#440154FF,Alpha,United States,5/15/2021,#FFC12D
7/1/2021,12/20/2021,3000,7450,#21908CFF,Delta,United States,9/1/2021,#C1312B
12/20/2021,12/31/2022,3000,7450,#35B779FF,Omicron,United States,4/1/2022,#006065
