Date,New Cases,Deaths,Infections
43853,1,0,0
43854,1,0,0
43855,0,0,0
43856,3,0,250
43857,0,0,0
43858,1,0,0
43859,0,0,0
43860,0,0,0
43861,3,0,0
43862,4,0,0
43863,0,0,0
43864,26,0,250
43865,7,0,0
43866,5,0,250
43867,2,0,0
43868,5,0,1502
43869,8,1,751
43870,33,0,500
43871,9,0,751
43872,9,0,1001
43873,8,0,1252
43874,6,0,1252
43875,6,0,1001
43876,5,0,1502
43877,13,0,3506
43878,18,0,1753
43879,7,0,2755
43880,17,1,3506
43881,14,0,5009
43882,16,0,5259
43883,26,0,8014
43884,23,0,17783
43885,19,0,16280
43886,24,0,25547
43887,44,0,28803
43888,34,1,33812
43889,50,0,42829
43890,36,1,58609
43891,86,0,78145
43892,78,6,88414
43893,170,3,126235
43894,143,2,136253
43895,165,3,145520
43896,218,4,196616
43897,262,5,252971
43898,355,5,285531
43899,596,4,337628
43900,676,6,349150
43901,852,14,397490
43902,1144,7,480895
43903,1367,11,436061
43904,1853,14,533743
43905,2810,20,556786
43906,2939,21,561545
43907,4048,32,556285
43908,6089,71,561796
43909,7213,65,476887
43910,8280,102,492416
43911,10057,115,631676
43912,11638,135,674255
43913,11398,171,610136
43914,12270,234,580581
43915,14852,312,479643
43916,19393,353,507945
43917,20695,504,540506
43918,20829,544,654969
43919,21391,581,563298
43920,21740,785,491164
43921,23128,1010,526730
43922,28665,1140,463863
43923,30189,1348,393983
43924,31732,1394,395235
43925,32523,1587,535497
43926,27336,1920,598364
43927,28576,1741,559040
43928,30103,2131,472880
43929,33614,2223,389475
43930,34892,2242,367434
43931,32202,2221,336125
43932,32420,2243,611638
43933,27571,1904,574569
43934,25168,1966,526229
43935,25497,2522,410514
43936,25750,2692,369688
43937,31693,2436,279770
43938,30304,2318,289038
43939,27761,1915,386219
43940,28001,2028,412768
43941,26169,2158,445329
43942,25027,2615,378454
43943,31330,2249,298305
43944,32640,1961,242200
43945,33960,2103,260735
43946,33479,1852,302563
43947,27984,1573,327359
43948,24204,1578,270002
43949,23648,2138,451841
43950,28891,2389,228926
43951,32498,2232,207636
43952,30158,1888,188601
43953,27941,1555,226171
43954,28297,1467,329363
43955,21160,1342,291041
43956,23441,2442,251718
43957,24502,2294,219158
43958,31859,2101,179333
43959,28837,1639,182840
43960,26106,1476,232182
43961,21297,1117,256477
43962,19490,1154,214900
43963,24587,1542,214399
43964,23597,1648,165808
43965,29967,1778,147274
43966,27768,1511,210892
43967,26048,1191,217404
43968,19392,967,208888
43969,24508,1041,207887
43970,21690,1208,182840
43971,25698,1307,162803
43972,26252,1078,122978
43973,26697,1804,150530
43974,21010,914,179333
43975,21586,829,169816
43976,18444,753,159296
43977,15621,903,173823
43978,21833,1315,142515
43979,26006,1162,101689
43980,24816,1005,146021
43981,24301,875,194862
43982,20519,716,175827
43983,16759,730,168313
43984,21371,927,172070
43985,23019,1024,146773
43986,23308,858,120724
43987,25257,856,134750
43988,23791,662,176578
43989,18077,588,197367
43990,17794,842,178081
43991,19672,868,196365
43992,24607,834,143266
43993,24343,830,143016
43994,29793,730,179333
43995,25819,650,242952
43996,20778,491,273509
43997,21435,601,221412
43998,27126,716,220159
43999,29562,678,220911
44000,32200,636,216402
44001,36099,694,217154
44002,36805,569,256227
44003,29462,406,293546
44004,29972,583,273759
44005,39159,778,274260
44006,41045,702,250716
44007,52814,672,246208
44008,52508,687,257729
44009,48202,586,334372
44010,42330,482,301060
44011,39162,538,314585
44012,47875,705,335123
44013,61980,788,288787
44014,59728,711,234937
44015,63788,784,279269
44016,53143,572,336376
44017,41432,571,309325
44018,45908,716,340133
44019,61064,970,335123
44020,68243,1092,286533
44021,70651,884,230679
44022,74665,879,255475
44023,71036,882,304817
44024,60278,864,312331
44025,54805,867,309576
44026,65812,1023,325105
44027,74623,1172,249714
44028,74419,1093,214649
44029,78239,1095,231430
44030,68866,1001,308574
44031,58050,983,314335
44032,59547,1029,296552
44033,62992,1335,253221
44034,70694,1202,234937
44035,72060,1256,225169
44036,72580,1338,208888
44037,58271,1153,258731
44038,54642,938,297303
44039,50829,1115,244455
44040,58922,1343,248212
44041,66050,1235,224668
44042,65743,1358,189352
44043,66189,1338,195113
44044,56166,1144,244455
44045,47271,921,247210
44046,45121,1020,233434
44047,53130,1217,238944
44048,59200,1247,204881
44049,57371,1236,159797
44050,58847,1298,172320
44051,50142,997,240447
44052,41256,857,198118
44053,40658,924,219658
44054,52250,1232,211393
44055,51766,1255,168062
44056,52149,1184,165558
44057,53077,1011,139509
44058,44110,938,155038
44059,37126,899,210642
44060,37965,834,197367
44061,41601,1033,199872
44062,47657,1187,150029
44063,46469,976,178582
44064,45823,991,135001
44065,40690,897,198619
44066,32520,756,246709
44067,35147,779,174825
44068,40614,976,193610
44069,47623,987,149027
44070,47972,932,118220
44071,44774,954,164556
44072,40358,818,178832
44073,32643,638,203378
44074,36947,688,174074
44075,39453,960,176578
44076,43999,791,159797
44077,45503,877,122227
44078,49781,844,129741
44079,40542,671,216653
44080,29814,661,134500
44081,23610,557,176829
44082,28288,619,193610
44083,39168,841,151031
44084,41036,788,139760
44085,44769,798,143767
44086,39339,599,172571
44087,30214,713,198118
44088,33888,539,170818
44089,38497,793,186847
44090,45947,985,164305
44091,46269,698,141513
44092,47746,773,147775
44093,40804,595,185595
44094,31395,472,208137
44095,40811,657,173573
44096,51901,714,215901
44097,43677,812,169315
44098,46274,695,178582
44099,50503,705,168814
44100,40524,638,209139
44101,32894,488,261987
44102,38584,518,214900
44103,41323,865,222915
44104,48229,537,192608
44105,48442,706,163554
44106,51481,773,192859
44107,49542,603,230929
44108,33804,558,252720
44109,40876,574,277516
44110,44552,689,243453
44111,57753,791,225670
44112,56165,682,176077
44113,59235,746,214399
44114,54238,656,283778
44115,43252,565,325606
44116,46986,590,303064
44117,55086,741,329112
44118,61720,831,277767
44119,64225,693,222414
44120,71243,862,267247
44121,55527,676,328361
44122,47392,713,379456
44123,60730,674,342387
44124,61587,835,334873
44125,73056,1046,373194
44126,76594,858,298054
44127,80372,890,302563
44128,74028,769,422536
44129,62220,653,477138
44130,69703,770,484652
44131,79938,922,491414
44132,87697,1009,439568
44133,93551,1108,346144
44134,98966,972,405755
44135,92753,901,504689
44136,75727,703,580581
44137,87364,856,430050
44138,104620,1133,439568
44139,120645,1300,425041
44140,129865,1210,374447
44141,140269,1314,463613
44142,131831,1109,616397
44143,109470,888,713328
44144,124724,1067,705563
44145,155474,1311,655219
44146,162099,1515,615145
44147,168975,1367,457852
44148,184918,1337,580330
44149,165943,1490,689032
44150,138648,1190,870370
44151,151143,1208,693040
44152,174013,1687,836557
44153,186048,1905,644199
44154,197710,1935,550024
44155,200203,1962,592352
44156,175958,1755,751399
44157,153596,1382,872875
44158,162794,1620,841066
44159,181559,2015,761668
