"","Vaccine","Variant","Study","NATR_vac","NATR_vac_istatus","endpoint","VE","lower","upper","fold_red","NATR_tot","code","I_v","I_c","N_v","N_c","VE_m","VE_up","VE_low","VE_up_SE","VE_low_SE","b_s","NATR_tot_jit","data","mean"
"1","Astrazeneca","Alpha","Braeye",0.542372881,1,"Susceptibility",0.55,0.11,0.82,1.48879931632068,0.364302209877678,"ChAdOx1 nCoV-19",11.0803158362333,24.6229240805186,1e+08,1e+08,0.518905812278845,0.778401127707151,0.0836727965330071,0.684898378838256,0.353886310561535,2.46229240805185e-07,0.369445724714413,"data",NA
"2","Astrazeneca","Alpha","Eyre",0.542372881,1,"Infectiousness",0.52,0.22,0.7,1.48879931632068,0.364302209877678,"ChAdOx1 nCoV-19",24.0508463208342,50.1059298350712,1e+08,1e+08,0.504429979674821,0.704647466922576,0.220342087471146,0.624129907969857,0.385841449360205,5.01059298350712e-07,0.393867971700271,"data",NA
"3","Astrazeneca","Delta","Eyre",0.542372881,1,"Infectiousness",0.24,0.18,0.3,2.19999482051163,0.246533708144761,"ChAdOx1 nCoV-19",760,1000,1e+08,1e+08,0.239252887594772,0.299505355253206,0.174801258566072,0.27097261868716,0.207493818648282,1e-05,0.200232636573933,"data",NA
"4","Astrazeneca","Delta","Andrews",0.5423729,1,"Death",0.932,0.917,0.945,2.19999482051163,0.246533716781145,"ChAdOx1 nCoV-19",68,1000,1e+08,1e+08,0.93162555917624,0.944466106718287,0.916774335526458,0.938629132487165,0.924653604486672,1e-05,0.252292193978845,"data",NA
"5","Astrazeneca","Alpha","Pouwels (alpha)",0.542372881,1,"Susceptibility",0.79,0.56,0.9,1.48879931632068,0.364302209877678,"ChAdOx1 nCoV-19",8.20849986238985,39.0880945828088,1e+08,1e+08,0.774264460675517,0.901598169733687,0.557617121509935,0.856606135498393,0.693220006391539,3.90880945828088e-07,0.357279462179671,"data",NA
"6","Astrazeneca","Delta","Martinez-Baz",0.542372881,1,"Susceptibility",0.54,0.48,0.6,2.19999482051163,0.246533708144761,"ChAdOx1 nCoV-19",340.425211522063,740.054807656658,1e+08,1e+08,0.538570255827751,0.595218716465551,0.476234437579577,0.568503128549947,0.508663835915381,7.40054807656658e-06,0.238958497794379,"data",NA
"7","Astrazeneca","Delta","Khanam",0.5423729,1,"Death",0.86,-0.1,0.98,2.19999482051163,0.246533716781145,"ChAdOx1 nCoV-19",0.932552513772828,6.66108938409163,1e+08,1e+08,0.74640482928117,0.984340961317822,-0.195095219858024,0.954072625996779,0.85,6.66108938409163e-08,0.236034629305983,"data",NA
"8","Astrazeneca","D614G","Voysey",0.542372881,1,"Susceptibility",0.557,0.414,0.667,1,0.542372881,"ChAdOx1 nCoV-19",70.4688089718713,159.071803548242,1e+08,1e+08,0.552359437847453,0.664804700918166,0.413419694495168,0.616096644398647,0.489042205147382,1.59071803548242e-06,0.544054317701165,"data",NA
"9","Astrazeneca","Alpha","Harris",0.542372881,1,"Infectiousness",0.48,0.38,0.57,1.48879931632068,0.364302209877678,"ChAdOx1 nCoV-19",179.877031207607,345.917367706937,1e+08,1e+08,0.478251039460686,0.566228034532315,0.378435856586896,0.525700751036813,0.430601078840457,3.45917367706937e-06,0.354731411193786,"data",NA
"10","Astrazeneca","D614G","Pritchard",0.542372881,1,"Susceptibility",0.79,0.65,0.88,1,0.542372881,"ChAdOx1 nCoV-19",17.3773943450445,82.7494968811641,1e+08,1e+08,0.782714511984849,0.874883101303754,0.648135671937824,0.838840366919181,0.727084431879494,8.27494968811641e-07,0.557837771348173,"data",NA
"11","Astrazeneca","Delta","Andrews",0.5423729,1,"Death",0.941,0.918,0.958,2.19999482051163,0.246533716781145,"ChAdOx1 nCoV-19",36.7879441171442,623.524476561765,1e+08,1e+08,0.940112845368015,0.957546605068402,0.917769207765574,0.950142567806268,0.930105533805538,6.23524476561765e-06,0.266713885265902,"data",NA
"12","Astrazeneca","Delta","Pouwels (delta)",0.542372881,1,"Susceptibility",0.67,0.62,0.71,2.19999482051163,0.246533708144761,"ChAdOx1 nCoV-19",275.193606470704,833.920019608194,1e+08,1e+08,0.669137850998417,0.711976007753204,0.621932169177644,0.692009411493256,0.646296663848712,8.33920019608195e-06,0.24921246544579,"data",NA
"13","Convalescent","Alpha","Pouwels (alpha)",1,1,"Susceptibility",0.6,0.5,0.68,1.48879931632068,0.67168219990276,"Convalescent",110.517091807565,276.292729518912,1e+08,1e+08,0.597640707098779,0.679538571063661,0.501294675771206,0.642507746117754,0.552697216100281,2.76292729518912e-06,0.658112402763025,"data",NA
"14","Convalescent","Delta","Pouwels (delta)",1,1,"Susceptibility",0.72,0.58,0.82,2.19999482051163,0.454546524690199,"Convalescent",28.8301059313528,102.964664040546,1e+08,1e+08,0.713687190275504,0.814959408315723,0.577555918707997,0.772763427626765,0.654370448440021,1.02964664040546e-06,0.436535606772214,"data",NA
"15","Convalescent","D614G","Narrainen",1,1,"Susceptibility",0.973,0.805,0.996,1,1,"Convalescent",1.01782722734418,37.6973047164512,1e+08,1e+08,0.955142508436831,0.996252191642495,0.803464898048506,0.990111612055811,0.927016366093645,3.76973047164512e-07,1.01958277926668,"data",NA
"16","Johnson and Johnson","Alpha","Braeye",0.470306513,1,"Infectiousness",0.26,-0.1,0.62,1.48879931632068,0.315896513280436,"Ad26.COV2.S",22.5585418335605,30.484515991298,1e+08,1e+08,0.229933527813175,0.569804977839686,-0.273678778617979,0.438686116093576,0.022754887202308,3.0484515991298e-07,0.345229226623932,"data",NA
"17","Johnson and Johnson","Alpha","Braeye",0.470306513,1,"Susceptibility",0.58,0.21,0.81,1.48879931632068,0.315896513280436,"Ad26.COV2.S",13.199384318783,31.4271055209119,1e+08,1e+08,0.557291521073861,0.779726582670373,0.202730972923189,0.696668159923368,0.419626031723906,3.14271055209119e-07,0.316902025318632,"data",NA
"18","Moderna","Alpha","Braeye",4.133291219,1,"Susceptibility",0.86,0.8,0.91,1.48879931632068,2.77625813881668,"mRNA-1273",33.2871083698079,237.765059784342,1e+08,1e+08,0.857442972733176,0.902496530661484,0.798076532321555,0.883654922697271,0.831410388232173,2.37765059784342e-06,2.79303918036461,"data",NA
"19","Moderna","Delta","Martinez-Baz",4.133291219,1,"Susceptibility",0.82,0.78,0.86,2.19999482051163,1.87877315912897,"mRNA-1273",90.5193701622721,502.8853897904,1e+08,1e+08,0.818857921814917,0.856293214125853,0.774954210193073,0.839322977562639,0.798490308025182,5.028853897904e-06,1.90016792823605,"data",NA
"20","Moderna","Alpha","Braeye",4.133291219,1,"Infectiousness",0.49,0.23,0.68,1.48879931632068,2.77625813881668,"mRNA-1273",32.6687899378651,64.0564508585591,1e+08,1e+08,0.478276553033913,0.665720026609617,0.223544835005571,0.587933207444209,0.368716396595466,6.40564508585591e-07,2.75082072121911,"data",NA
"21","Pfizer","BA.2","Yan",2.3723404,1,"Death",0.898,0.837,0.936,15.1347461129248,0.156747948217913,"BNT162b2",19.4465599089723,190.65254812718,1e+08,1e+08,0.895067186798324,0.936317661893281,0.837121570291433,0.919455873783218,0.87082559593392,1.90652548127179e-06,0.159734495616051,"data",NA
"22","Pfizer","Alpha","Hall",2.372340426,1,"Susceptibility",0.86,0.76,0.97,1.48879931632068,1.59345883625393,"BNT162b2",11.0803158362334,79.1451131159525,1e+08,1e+08,0.852664684396653,0.925198193833623,0.736850600986997,0.898354135011964,0.807052689903497,7.91451131159525e-07,1.62919142078249,"data",NA
"23","Pfizer","Alpha","Braeye",2.372340426,1,"Susceptibility",0.74,0.72,0.76,1.48879931632068,1.59345883625393,"BNT162b2",260,1000,1e+08,1e+08,0.739821451002773,0.759283491088521,0.719202146173203,0.749960023603205,0.729670210321928,1e-05,1.60579164503377,"data",NA
"24","Pfizer","Alpha","Harris",2.372340426,1,"Infectiousness",0.46,0.38,0.53,1.48879931632068,1.59345883625393,"BNT162b2",308.744457383924,571.748995155414,1e+08,1e+08,0.458645133293873,0.528993134962477,0.380188143785342,0.496490861683679,0.420827464406426,5.71748995155414e-06,1.57117806959745,"data",NA
"25","Pfizer","Alpha","Prunas",2.372340426,0.1241186,"Susceptibility",0.583,0.458,0.679,1.48879931632068,0.197777879913467,"BNT162b2",78.8596890981076,189.111964264047,1e+08,1e+08,0.579097817165233,0.679441864302663,0.456236905920319,0.635392708881817,0.523495691644264,1.89111964264047e-06,0.182977894273237,"data",NA
"26","Pfizer","Alpha","Prunas",2.372340426,1,"Susceptibility",0.894,0.887,0.9,1.48879931632068,1.59345883625393,"BNT162b2",106,1000,1e+08,1e+08,0.893961937113073,0.900270931826137,0.887436470322953,0.897223151449676,0.890663414496857,1e-05,1.59148442900451,"data",NA
"27","Pfizer","Alpha","Braeye",2.372340426,1,"Infectiousness",0.61,0.56,0.67,1.48879931632068,1.59345883625393,"BNT162b2",278.709120779892,714.638771230492,1e+08,1e+08,0.609100414473592,0.660609606332915,0.551896947354565,0.636597522851741,0.581818994052307,7.14638771230492e-06,1.59654725308913,"data",NA
"28","Pfizer","Alpha","Pouwels (alpha)",2.372340426,1,"Susceptibility",0.78,0.68,0.84,1.48879931632068,1.59345883625393,"BNT162b2",35.8831505834206,163.105229924639,1e+08,1e+08,0.775955068103125,0.846426735700323,0.684566251993534,0.81660510406326,0.735274833105922,1.63105229924639e-06,1.60218809092876,"data",NA
"29","Pfizer","Alpha","Andrews",2.3723404,0.1241186,"Death",0.966,0.944,0.965,1.48879931632068,0.197777877745893,"BNT162b2",26.2500300612465,772.059707683721,1e+08,1e+08,0.965345903212075,0.976981077275485,0.949788978161931,0.97208190811843,0.95860715748962,7.72059707683721e-06,0.195425656026027,"data",NA
"30","Pfizer","Alpha","Eyre",2.372340426,1,"Infectiousness",0.68,0.52,0.79,1.48879931632068,1.59345883625393,"BNT162b2",30.1194211912202,94.123191222563,1e+08,1e+08,0.672028393467542,0.786808881331553,0.515620923146247,0.739534582779923,0.604645454650563,9.4123191222563e-07,1.5864399564357,"data",NA
"31","Pfizer","Alpha","Glatman-Freedman",2.3723404,1,"Death",0.986,0.97,0.993,1.48879931632068,1.59345881879019,"BNT162b2",6.72055127397496,480.039376712496,1e+08,1e+08,0.984827393643209,0.993432176258712,0.969922450649574,0.990454198886528,0.979282534633258,4.80039376712496e-06,1.58024400133447,"data",NA
