"","date","lineage","pred","obs"
"1",2020-01-01,"Alpha",5.78853793213774e-21,NA
"2",2020-01-01,"Beta",5.18136149078451e-25,NA
"3",2020-01-01,"Delta",2.98798188966694e-43,NA
"4",2020-01-01,"Om:BA.1",4.75113039396666e-182,NA
"5",2020-01-01,"Om:BA.2",6.93938570449656e-156,NA
"6",2020-01-01,"Om:BA.2.12.1",6.11205363120625e-281,NA
"7",2020-01-01,"Om:BA.2.75",0,NA
"8",2020-01-01,"Om:BA.2.75.2",3.82591139967307e-108,NA
"9",2020-01-01,"Om:BA.4",0,NA
"10",2020-01-01,"Om:BA.4.6",0,NA
"11",2020-01-01,"Om:BA.5",0,NA
"12",2020-01-01,"Om:BF.7",0,NA
"13",2020-01-01,"Om:BN.1",1.52865883533511e-71,NA
"14",2020-01-01,"Om:BQ.1",0,NA
"15",2020-01-01,"Om:BQ.1.1",0,NA
"16",2020-01-01,"Om:XBB",6.53550946011842e-31,NA
"17",2020-01-01,"Other",1,NA
"18",2020-01-02,"Alpha",6.60253088933365e-21,NA
"19",2020-01-02,"Beta",6.01896189329915e-25,NA
"20",2020-01-02,"Delta",3.75717371991511e-43,NA
"21",2020-01-02,"Om:BA.1",1.05705167201656e-181,NA
"22",2020-01-02,"Om:BA.2",1.32112998524994e-155,NA
"23",2020-01-02,"Om:BA.2.12.1",1.88990407657567e-280,NA
"24",2020-01-02,"Om:BA.2.75",0,NA
"25",2020-01-02,"Om:BA.2.75.2",5.7583960988776e-108,NA
"26",2020-01-02,"Om:BA.4",0,NA
"27",2020-01-02,"Om:BA.4.6",0,NA
"28",2020-01-02,"Om:BA.5",0,NA
"29",2020-01-02,"Om:BF.7",0,NA
"30",2020-01-02,"Om:BN.1",1.98461699366832e-71,NA
"31",2020-01-02,"Om:BQ.1",0,NA
"32",2020-01-02,"Om:BQ.1.1",0,NA
"33",2020-01-02,"Om:XBB",7.20776200733476e-31,NA
"34",2020-01-02,"Other",1,NA
"35",2020-01-03,"Alpha",7.53098876705556e-21,NA
"36",2020-01-03,"Beta",6.99196578687302e-25,NA
"37",2020-01-03,"Delta",4.72437748382533e-43,NA
"38",2020-01-03,"Om:BA.1",2.35177346159958e-181,NA
"39",2020-01-03,"Om:BA.2",2.51518579922071e-155,NA
"40",2020-01-03,"Om:BA.2.12.1",5.84375994415552e-280,NA
"41",2020-01-03,"Om:BA.2.75",0,NA
"42",2020-01-03,"Om:BA.2.75.2",8.66698733128041e-108,NA
"43",2020-01-03,"Om:BA.4",0,NA
"44",2020-01-03,"Om:BA.4.6",0,NA
"45",2020-01-03,"Om:BA.5",0,NA
"46",2020-01-03,"Om:BF.7",0,NA
"47",2020-01-03,"Om:BN.1",2.57657530935836e-71,NA
"48",2020-01-03,"Om:BQ.1",0,NA
"49",2020-01-03,"Om:BQ.1.1",0,NA
"50",2020-01-03,"Om:XBB",7.94916348471432e-31,NA
"51",2020-01-03,"Other",1,NA
"52",2020-01-04,"Alpha",8.590007795517e-21,NA
"53",2020-01-04,"Beta",8.12226201651645e-25,NA
"54",2020-01-04,"Delta",5.94056710536682e-43,NA
"55",2020-01-04,"Om:BA.1",5.2323254965702e-181,NA
"56",2020-01-04,"Om:BA.2",4.78844600851678e-155,NA
"57",2020-01-04,"Om:BA.2.12.1",1.80694516235895e-279,NA
"58",2020-01-04,"Om:BA.2.75",0,NA
"59",2020-01-04,"Om:BA.2.75.2",1.30447208060624e-107,NA
"60",2020-01-04,"Om:BA.4",0,NA
"61",2020-01-04,"Om:BA.4.6",0,NA
"62",2020-01-04,"Om:BA.5",0,NA
"63",2020-01-04,"Om:BF.7",0,NA
"64",2020-01-04,"Om:BN.1",3.34509900196121e-71,NA
"65",2020-01-04,"Om:BQ.1",0,NA
"66",2020-01-04,"Om:BQ.1.1",0,NA
"67",2020-01-04,"Om:XBB",8.76682665748577e-31,NA
"68",2020-01-04,"Other",1,NA
"69",2020-01-05,"Alpha",9.79794768116382e-21,NA
"70",2020-01-05,"Beta",9.43527789978643e-25,NA
"71",2020-01-05,"Delta",7.46983865158711e-43,NA
"72",2020-01-05,"Om:BA.1",1.16411000247601e-180,NA
"73",2020-01-05,"Om:BA.2",9.116310685113e-155,NA
"74",2020-01-05,"Om:BA.2.12.1",5.58724323205409e-279,NA
"75",2020-01-05,"Om:BA.2.75",0,NA
"76",2020-01-05,"Om:BA.2.75.2",1.96336667406867e-107,NA
"77",2020-01-05,"Om:BA.4",0,NA
"78",2020-01-05,"Om:BA.4.6",0,NA
"79",2020-01-05,"Om:BA.5",0,NA
"80",2020-01-05,"Om:BF.7",0,NA
"81",2020-01-05,"Om:BN.1",4.34285281407464e-71,NA
"82",2020-01-05,"Om:BQ.1",0,NA
"83",2020-01-05,"Om:BQ.1.1",0,NA
"84",2020-01-05,"Om:XBB",9.66859592084063e-31,NA
"85",2020-01-05,"Other",1,NA
"86",2020-01-06,"Alpha",1.1175749900125e-20,NA
"87",2020-01-06,"Beta",1.09605512436274e-24,NA
"88",2020-01-06,"Delta",9.39278834681196e-43,NA
"89",2020-01-06,"Om:BA.1",2.58996138285563e-180,NA
"90",2020-01-06,"Om:BA.2",1.73557601693097e-154,NA
"91",2020-01-06,"Om:BA.2.12.1",1.72762779880825e-278,NA
"92",2020-01-06,"Om:BA.2.75",0,NA
"93",2020-01-06,"Om:BA.2.75.2",2.95507182879068e-107,NA
"94",2020-01-06,"Om:BA.4",0,NA
"95",2020-01-06,"Om:BA.4.6",0,NA
"96",2020-01-06,"Om:BA.5",0,NA
"97",2020-01-06,"Om:BF.7",0,NA
"98",2020-01-06,"Om:BN.1",5.63820997634383e-71,NA
"99",2020-01-06,"Om:BQ.1",0,NA
"100",2020-01-06,"Om:BQ.1.1",0,NA
"101",2020-01-06,"Om:XBB",1.0663122556515e-30,NA
"102",2020-01-06,"Other",1,NA
"103",2020-01-07,"Alpha",1.27473007505701e-20,NA
"104",2020-01-07,"Beta",1.27323948314128e-24,NA
"105",2020-01-07,"Delta",1.18107601841255e-42,NA
"106",2020-01-07,"Om:BA.1",5.7622561015843e-180,NA
"107",2020-01-07,"Om:BA.2",3.30421396833767e-154,NA
"108",2020-01-07,"Om:BA.2.12.1",5.34198653477526e-278,NA
"109",2020-01-07,"Om:BA.2.75",0,NA
"110",2020-01-07,"Om:BA.2.75.2",4.44769162512897e-107,NA
"111",2020-01-07,"Om:BA.4",0,NA
"112",2020-01-07,"Om:BA.4.6",0,NA
"113",2020-01-07,"Om:BA.5",0,NA
"114",2020-01-07,"Om:BF.7",0,NA
"115",2020-01-07,"Om:BN.1",7.31993763047129e-71,NA
"116",2020-01-07,"Om:BQ.1",0,NA
"117",2020-01-07,"Om:BQ.1.1",0,NA
"118",2020-01-07,"Om:XBB",1.1759947730381e-30,NA
"119",2020-01-07,"Other",1,NA
"120",2020-01-08,"Alpha",1.45398454580364e-20,NA
"121",2020-01-08,"Beta",1.4790668328588e-24,NA
"122",2020-01-08,"Delta",1.48511869932928e-42,NA
"123",2020-01-08,"Om:BA.1",1.28201121453169e-179,NA
"124",2020-01-08,"Om:BA.2",6.29060890566215e-154,NA
"125",2020-01-08,"Om:BA.2.12.1",1.65179213702176e-277,NA
"126",2020-01-08,"Om:BA.2.75",0,NA
